SWO capture clock
Time	Approx	PC	ITM1	ITM2	ITM3	ITM4	
283414.06 us	 	---	2069				
283548.77 us	 	---		20700008			
283550.77 us	 	---			20700008		
283552.77 us	 	---				0	
293444.38 us	 	---	2070				
293446.42 us	 	---		7994			
293448.42 us	 	---			20710002		
293450.42 us	 	---				20717996	
303476.75 us	 	---	2071				
303478.79 us	 	---		7994			
303556.98 us	 	---			20720002		
303558.98 us	 	---				20727996	
313507.15 us	 	---	2072				
313509.15 us	 	---		7994			
313511.15 us	 	---			20730002		
313556.88 us	 	---				20737996	
323521.06 us	 	---	2073				
323523.06 us	 	---		7994			
323525.10 us	 	---			20740002		
323527.15 us	 	---				20747996	
333371.02 us	 	---	2074				
333536.60 us	 	---		7994			
333538.60 us	 	---			20750002		
333540.60 us	 	---				20757996	
343403.42 us	 	---	2075				
343531.77 us	 	---		7994			
343533.81 us	 	---			20760002		
343535.81 us	 	---				20767996	
353433.88 us	 	---	2076				
353435.88 us	 	---		7994			
353437.88 us	 	---			20770002		
353439.92 us	 	---				20777996	
363464.15 us	 	---	2077				
363466.19 us	 	---		7994			
363468.19 us	 	---			20780002		
363542.71 us	 	---				20787996	
373496.52 us	 	---	2078				
373498.52 us	 	---		7994			
373500.52 us	 	---			20790002		
373539.88 us	 	---				20797996	
383504.06 us	 	---	2079				
383506.06 us	 	---		7994			
383508.06 us	 	---			20800002		
383510.06 us	 	---				20807996	
393360.54 us	 	---	2080				
393517.58 us	 	---		7994			
393519.62 us	 	---			20810002		
393521.62 us	 	---				20817996	
403392.79 us	 	---	2081				
403514.75 us	 	---		7994			
403516.75 us	 	---			20820002		
403518.75 us	 	---				20827996	
413423.19 us	 	---	2082				
413425.19 us	 	---		7994			
413427.23 us	 	---			20830002		
413429.23 us	 	---				20837996	
423453.48 us	 	---	2083				
423455.48 us	 	---		7994			
423457.48 us	 	---			20840002		
423525.71 us	 	---				20847996	
433485.88 us	 	---	2084				
433487.88 us	 	---		7994			
433489.88 us	 	---			20850002		
433491.92 us	 	---				20857996	
443487.04 us	 	---	2085				
443489.04 us	 	---		7994			
443491.04 us	 	---			20860002		
443493.04 us	 	---				20867996	
453349.96 us	 	---	2086				
453500.71 us	 	---		7994			
453502.71 us	 	---			20870002		
453504.71 us	 	---				20877996	
463382.25 us	 	---	2087				
463384.25 us	 	---		7994			
463386.25 us	 	---			20880002		
463388.25 us	 	---				20887996	
473412.56 us	 	---	2088				
473414.56 us	 	---		7994			
473416.56 us	 	---			20890002		
473418.56 us	 	---				20897996	
483442.96 us	 	---	2089				
483444.96 us	 	---		7994			
483446.96 us	 	---			20900002		
483508.71 us	 	---				20907996	
493472.88 us	 	---	2090				
493476.88 us	 	---		7994			
493478.88 us	 	---			20910002		
493480.88 us	 	---				20917996	
503470.92 us	 	---	2091				
503472.96 us	 	---		7994			
503475.00 us	 	---			20920002		
503477.04 us	 	---				20927996	
513339.25 us	 	---	2092				
513483.58 us	 	---		7994			
513485.58 us	 	---			20930002		
513487.62 us	 	---				20937996	
523369.65 us	 	---	2093				
523371.65 us	 	---		7994			
523373.65 us	 	---			20940002		
523375.65 us	 	---				20947996	
533401.94 us	 	---	2094				
533403.94 us	 	---		7994			
533405.98 us	 	---			20950002		
533407.98 us	 	---				20957996	
543432.33 us	 	---	2095				
543434.33 us	 	---		7994			
543436.33 us	 	---			20960002		
543491.69 us	 	---				20967996	
553455.88 us	 	---	2096				
553457.88 us	 	---		7994			
553459.88 us	 	---			20970002		
553461.88 us	 	---				20977996	
563460.27 us	 	---	2097				
563462.27 us	 	---		7994			
563464.27 us	 	---			20980002		
563466.27 us	 	---				20987996	
573328.65 us	 	---	2098				
573466.56 us	 	---		7994			
573468.56 us	 	---			20990002		
573470.56 us	 	---				20997996	
583359.02 us	 	---	2099				
583361.02 us	 	---		7994			
583363.02 us	 	---			21000002		
583365.02 us	 	---				21007996	
593391.38 us	 	---	2100				
593393.38 us	 	---		7994			
593471.52 us	 	---			21010002		
593473.52 us	 	---				21017996	
603421.71 us	 	---	2101				
603423.71 us	 	---		7994			
603425.71 us	 	---			21020002		
603474.69 us	 	---				21027996	
613438.85 us	 	---	2102				
613440.85 us	 	---		7994			
613442.85 us	 	---			21030002		
613444.85 us	 	---				21037996	
623449.65 us	 	---	2103				
623451.65 us	 	---		7994			
623453.65 us	 	---			21040002		
623455.65 us	 	---				21047996	
633318.02 us	 	---	2104				
633449.56 us	 	---		7994			
633451.56 us	 	---			21050002		
633453.56 us	 	---				21057996	
643348.38 us	 	---	2105				
643350.38 us	 	---		7994			
643352.38 us	 	---			21060002		
643354.42 us	 	---				21067996	
653378.79 us	 	---	2106				
653382.79 us	 	---		7994			
653460.52 us	 	---			21070002		
653462.52 us	 	---				21077996	
663411.06 us	 	---	2107				
663413.06 us	 	---		7994			
663415.06 us	 	---			21080002		
663457.69 us	 	---				21087996	
673421.85 us	 	---	2108				
673423.85 us	 	---		7994			
673425.85 us	 	---			21090002		
673427.85 us	 	---				21097996	
683275.06 us	 	---	2109				
683435.40 us	 	---		7994			
683437.40 us	 	---			21100002		
683439.40 us	 	---				21107996	
693307.52 us	 	---	2110				
693432.56 us	 	---		7994			
693434.56 us	 	---			21110002		
693436.60 us	 	---				21117996	
703337.75 us	 	---	2111				
703339.75 us	 	---		7994			
703341.75 us	 	---			21120002		
703343.75 us	 	---				21127996	
713368.15 us	 	---	2112				
713370.15 us	 	---		7994			
713372.15 us	 	---			21130002		
713443.50 us	 	---				21137996	
723400.44 us	 	---	2113				
723402.44 us	 	---		7994			
723404.44 us	 	---			21140002		
723440.67 us	 	---				21147996	
733404.85 us	 	---	2114				
733406.90 us	 	---		7994			
733408.90 us	 	---			21150002		
733410.90 us	 	---				21157996	
743264.44 us	 	---	2115				
743418.38 us	 	---		7994			
743420.38 us	 	---			21160002		
743422.42 us	 	---				21167996	
753296.83 us	 	---	2116				
753298.88 us	 	---		7994			
753300.88 us	 	---			21170002		
753302.88 us	 	---				21177996	
763327.17 us	 	---	2117				
763329.17 us	 	---		7994			
763331.17 us	 	---			21180002		
763333.21 us	 	---				21187996	
773357.56 us	 	---	2118				
773359.60 us	 	---		7994			
773361.60 us	 	---			21190002		
773426.50 us	 	---				21197996	
783389.98 us	 	---	2119				
783392.02 us	 	---		7994			
783394.06 us	 	---			21200002		
783396.06 us	 	---				21207996	
793387.83 us	 	---	2120				
793389.83 us	 	---		7994			
793391.83 us	 	---			21210002		
793393.83 us	 	---				21217996	
803253.79 us	 	---	2121				
803401.50 us	 	---		7994			
803403.54 us	 	---			21220002		
803405.54 us	 	---				21227996	
813284.25 us	 	---	2122				
813288.25 us	 	---		7994			
813290.25 us	 	---			21230002		
813292.25 us	 	---				21237996	
823316.60 us	 	---	2123				
823318.60 us	 	---		7994			
823320.60 us	 	---			21240002		
823322.60 us	 	---				21247996	
833346.90 us	 	---	2124				
833348.90 us	 	---		7994			
833350.90 us	 	---			21250002		
833409.50 us	 	---				21257996	
843373.67 us	 	---	2125				
843375.71 us	 	---		7994			
843377.71 us	 	---			21260002		
843379.71 us	 	---				21267996	
853374.96 us	 	---	2126				
853376.96 us	 	---		7994			
853378.96 us	 	---			21270002		
853380.96 us	 	---				21277996	
863243.29 us	 	---	2127				
863384.38 us	 	---		7994			
863386.38 us	 	---			21280002		
863388.38 us	 	---				21287996	
873273.60 us	 	---	2128				
873275.65 us	 	---		7994			
873277.69 us	 	---			21290002		
873279.69 us	 	---				21297996	
883305.98 us	 	---	2129				
883307.98 us	 	---		7994			
883309.98 us	 	---			21300002		
883311.98 us	 	---				21307996	
893336.29 us	 	---	2130				
893338.33 us	 	---		7994			
893340.33 us	 	---			21310002		
893392.48 us	 	---				21317996	
903356.67 us	 	---	2131				
903358.67 us	 	---		7994			
903360.67 us	 	---			21320002		
903362.67 us	 	---				21327996	
913364.33 us	 	---	2132				
913366.33 us	 	---		7994			
