SWO capture clock
Time	Approx	PC	ITM1	ITM2	ITM3	ITM4	
278663.79 us	 	---	4030				
278665.83 us	 	---		40300048			
278667.83 us	 	---			40300048		
278669.83 us	 	---				0	
288532.12 us	 	---	4031				
288662.21 us	 	---		9831			
288664.21 us	 	---			40310012		
288666.21 us	 	---				40319843	
298562.44 us	 	---	4032				
298564.48 us	 	---		9842			
298566.52 us	 	---			40320001		
298568.52 us	 	---				40329843	
308592.81 us	 	---	4033				
308594.81 us	 	---		9842			
308596.81 us	 	---			40330001		
308673.42 us	 	---				40339843	
318625.21 us	 	---	4034				
318627.21 us	 	---		9842			
318629.21 us	 	---			40340001		
318670.56 us	 	---				40349843	
328634.88 us	 	---	4035				
328636.88 us	 	---		9843			
328638.88 us	 	---			40350001		
328640.88 us	 	---				40359844	
338489.08 us	 	---	4036				
338648.54 us	 	---		9843			
338650.54 us	 	---			40360001		
338652.58 us	 	---				40369844	
348521.48 us	 	---	4037				
348645.83 us	 	---		9843			
348647.83 us	 	---			40370001		
348649.83 us	 	---				40379844	
358551.98 us	 	---	4038				
358554.02 us	 	---		9843			
358556.02 us	 	---			40380001		
358558.02 us	 	---				40389844	
368582.17 us	 	---	4039				
368584.17 us	 	---		9843			
368586.17 us	 	---			40390001		
368656.77 us	 	---				40399844	
378614.58 us	 	---	4040				
378616.58 us	 	---		9843			
378618.58 us	 	---			40400001		
378620.58 us	 	---				40409844	
388618.12 us	 	---	4041				
388620.12 us	 	---		9843			
388622.12 us	 	---			40410001		
388624.12 us	 	---				40419844	
398478.67 us	 	---	4042				
398631.77 us	 	---		9843			
398633.77 us	 	---			40420001		
398635.77 us	 	---				40429844	
408510.85 us	 	---	4043				
408512.85 us	 	---		9843			
408514.85 us	 	---			40430001		
408516.85 us	 	---				40439844	
418541.27 us	 	---	4044				
418543.27 us	 	---		9843			
418545.27 us	 	---			40440001		
418547.27 us	 	---				40449844	
428571.58 us	 	---	4045				
428573.62 us	 	---		9843			
428575.62 us	 	---			40450001		
428639.90 us	 	---				40459844	
438604.00 us	 	---	4046				
438606.00 us	 	---		9843			
438608.00 us	 	---			40460001		
438610.00 us	 	---				40469844	
448601.35 us	 	---	4047				
448603.35 us	 	---		9843			
448605.35 us	 	---			40470001		
