SWO capture clock
Time	Approx	PC	ITM1	ITM2	ITM3	ITM4	
277625.04 us	 	---	0				
277627.04 us	 	---		186966344			
277629.04 us	 	---			186966344		
277666.17 us	 	---				0	
287633.21 us	 	---	0				
287635.25 us	 	---		18376735			
287637.25 us	 	---			0		
287639.25 us	 	---				18376735	
297489.31 us	 	---	1				
297646.98 us	 	---		1001			
297648.98 us	 	---			18385737		
297650.98 us	 	---				18386738	
307521.85 us	 	---	2				
307644.27 us	 	---		1001			
307646.27 us	 	---			18395737		
307648.27 us	 	---				18396738	
317552.21 us	 	---	3				
317554.21 us	 	---		1001			
317556.21 us	 	---			18405737		
317558.21 us	 	---				18406738	
327582.73 us	 	---	4				
327584.73 us	 	---		1001			
327586.73 us	 	---			18415737		
327655.58 us	 	---				18416738	
337615.12 us	 	---	5				
337617.12 us	 	---		1001			
337619.12 us	 	---			18425737		
337621.12 us	 	---				18426738	
347617.29 us	 	---	6				
347619.29 us	 	---		1001			
347621.33 us	 	---			18435737		
347623.38 us	 	---				18436738	
357479.40 us	 	---	7				
357631.06 us	 	---		1001			
357633.06 us	 	---			18445737		
357635.06 us	 	---				18446738	
367511.88 us	 	---	8				
367513.88 us	 	---		1002			
367515.88 us	 	---			18455737		
367517.88 us	 	---				18456739	
377542.29 us	 	---	9				
377544.29 us	 	---		1002			
377546.33 us	 	---			18465737		
377548.33 us	 	---				18466739	
387572.85 us	 	---	10				
387574.90 us	 	---		1002			
387576.90 us	 	---			18475737		
387639.67 us	 	---				18476739	
397605.33 us	 	---	11				
397607.33 us	 	---		1002			
397609.33 us	 	---			18485737		
397611.33 us	 	---				18486739	
407601.38 us	 	---	12				
407603.38 us	 	---		1001			
407605.38 us	 	---			18495738		
407607.38 us	 	---				18496739	
417469.48 us	 	---	13				
417615.40 us	 	---		1001			
417617.44 us	 	---			18505738		
417619.44 us	 	---				18506739	
427500.04 us	 	---	14				
427502.08 us	 	---		1001			
427504.08 us	 	---			18515738		
427506.08 us	 	---				18516739	
437532.50 us	 	---	15				
437534.50 us	 	---		1001			
437536.50 us	 	---			18525738		
437538.50 us	 	---				18526739	
447562.90 us	 	---	16				
447564.90 us	 	---		1001			
447566.90 us	 	---			18535738		
447623.88 us	 	---				18536739	
457588.29 us	 	---	17				
457590.29 us	 	---		1001			
457592.29 us	 	---			18545738		
457594.29 us	 	---				18546739	
467591.21 us	 	---	18				
467593.21 us	 	---		1001			
467595.21 us	 	---			18555738		
467597.21 us	 	---				18556739	
477459.65 us	 	---	19				
477599.48 us	 	---		1001			
477601.48 us	 	---			18565738		
477603.48 us	 	---				18566739	
487490.04 us	 	---	20				
487492.04 us	 	---		1001			
487494.08 us	 	---			18575738		
487496.08 us	 	---				18576739	
497522.56 us	 	---	21				
497524.56 us	 	---		1002			
497602.67 us	 	---			18585738		
497604.67 us	 	---				18586740	
507552.98 us	 	---	22				
507554.98 us	 	---		1002			
507556.98 us	 	---			18595738		
507607.96 us	 	---				18596740	
517572.38 us	 	---	23				
517574.38 us	 	---		1002			
517576.42 us	 	---			18605738		
517578.46 us	 	---				18606740	
527581.27 us	 	---	24				
527583.27 us	 	---		1001			
527585.31 us	 	---			18615739		
527587.35 us	 	---				18616740	
537449.73 us	 	---	25				
537583.56 us	 	---		1001			
537585.56 us	 	---			18625739		
537587.56 us	 	---				18626740	
547480.12 us	 	---	26				
547482.12 us	 	---		1001			
547484.12 us	 	---			18635739		
547486.12 us	 	---				18636740	
557512.73 us	 	---	27				
557514.73 us	 	---		1001			
557592.88 us	 	---			18645739		
557594.88 us	 	---				18646740	
567543.19 us	 	---	28				
567545.19 us	 	---		1001			
567547.19 us	 	---			18655739		
567591.92 us	 	---				18656740	
577556.21 us	 	---	29				
577558.21 us	 	---		1001			
577560.21 us	 	---			18665739		
577562.21 us	 	---				18666740	
587407.29 us	 	---	30				
587569.98 us	 	---		1001			
587571.98 us	 	---			18675739		
587573.98 us	 	---				18676740	
597439.85 us	 	---	31				
597567.40 us	 	---		1001			
597569.40 us	 	---			18685739		
597571.40 us	 	---				18686740	
607470.33 us	 	---	32				
607472.33 us	 	---		1001			
607474.33 us	 	---			18695739		
607476.33 us	 	---				18696740	
617500.73 us	 	---	33				
617502.73 us	 	---		1001			
617504.77 us	 	---			18705739		
617578.58 us	 	---				18706740	
627533.29 us	 	---	34				
627535.33 us	 	---		1001			
627537.33 us	 	---			18715739		
627576.00 us	 	---				18716740	
637540.29 us	 	---	35				
637542.29 us	 	---		1001			
637544.29 us	 	---			18725739		
637546.29 us	 	---				18726740	
647397.50 us	 	---	36				
647554.06 us	 	---		1001			
647556.10 us	 	---			18735739		
647558.10 us	 	---				18736740	
657429.98 us	 	---	37				
657551.48 us	 	---		1001			
657553.48 us	 	---			18745739		
657555.48 us	 	---				18746740	
667460.42 us	 	---	38				
667462.42 us	 	---		1001			
667464.42 us	 	---			18755739		
667466.42 us	 	---				18756740	
677490.81 us	 	---	39				
677492.81 us	 	---		1001			
677494.81 us	 	---			18765739		
677562.67 us	 	---				18766740	
687523.33 us	 	---	40				
687525.33 us	 	---		1002			
687527.33 us	 	---			18775739		
687529.33 us	 	---				18776741	
697524.38 us	 	---	41				
697526.38 us	 	---		1002			
697528.38 us	 	---			18785739		
697530.38 us	 	---				18786741	
707387.56 us	 	---	42				
707538.15 us	 	---		1002			
707540.15 us	 	---			18795739		
707542.19 us	 	---				18796741	
717419.96 us	 	---	43				
717421.96 us	 	---		1002			
717424.00 us	 	---			18805739		
717426.04 us	 	---				18806741	
727450.50 us	 	---	44				
727452.50 us	 	---		1001			
727454.54 us	 	---			18815740		
727456.54 us	 	---				18816741	
737481.02 us	 	---	45				
737483.02 us	 	---		1001			
737485.02 us	 	---			18825740		
737546.88 us	 	---				18826741	
747511.29 us	 	---	46				
747515.33 us	 	---		1001			
747517.33 us	 	---			18835740		
747519.33 us	 	---				18836741	
757509.19 us	 	---	47				
757511.19 us	 	---		1001			
757513.23 us	 	---			18845740		
757515.27 us	 	---				18846741	
767377.69 us	 	---	48				
767522.48 us	 	---		1001			
767524.48 us	 	---			18855740		
767526.52 us	 	---				18856741	
777408.25 us	 	---	49				
777410.29 us	 	---		1001			
777412.29 us	 	---			18865740		
777414.29 us	 	---				18866741	
787440.60 us	 	---	50				
787442.60 us	 	---		1001			
787444.60 us	 	---			18875740		
787446.60 us	 	---				18876741	
797471.12 us	 	---	51				
797473.17 us	 	---		1001			
797475.17 us	 	---			18885740		
797530.94 us	 	---				18886741	
807495.23 us	 	---	52				
807497.23 us	 	---		1001			
807499.23 us	 	---			18895740		
807501.23 us	 	---				18896741	
817499.27 us	 	---	53				
817501.27 us	 	---		1001			
817503.27 us	 	---			18905740		
817505.27 us	 	---				18906741	
827367.71 us	 	---	54				
827506.29 us	 	---		1002			
827508.29 us	 	---			18915740		
827510.33 us	 	---				18916742	
837398.23 us	 	---	55				
837400.23 us	 	---		1001			
837402.23 us	 	---			18925740		
837404.23 us	 	---				18926741	
847430.71 us	 	---	56				
847432.71 us	 	---		1002			
847510.85 us	 	---			18935740		
847512.85 us	 	---				18936742	
857461.19 us	 	---	57				
857463.23 us	 	---		1002			
857465.27 us	 	---			18945740		
857515.02 us	 	---				18946742	
867479.44 us	 	---	58				
867481.44 us	 	---		1001			
867483.44 us	 	---			18955741		
867485.44 us	 	---				18956742	
877489.46 us	 	---	59				
877491.46 us	 	---		1001			
877493.46 us	 	---			18965741		
877495.46 us	 	---				18966742	
887357.81 us	 	---	60				
887490.35 us	 	---		1001			
887492.35 us	 	---			18975741		
887494.35 us	 	---				18976742	
897388.29 us	 	---	61				
897390.29 us	 	---		1001			
897392.29 us	 	---			18985741		
